video_id,transcript,status
JYNyQcblzgI,,failed
xAcvIhbItb4,"Safety first for this driver, strapping on his seatbelt as he settles into the driver's seat. One big problem. He's just seven years old. Dashboard cameras captured Daniel Wittenbach taking his family's SUV for a morning joy ride. He almost hit another work vehicle. It was a boy, a child. He's driving the wrong way into oncoming traffic in Middletown, Ohio. Cars swerve to avoid young Daniel, who's a decade shy of getting his license. You can hear him playing music along the way. But then the inevitable happens. He hits a median and slows down. Another driver tries to help, wrapping a shirt around his hands, trying to smash in the window. Only then does Daniel think he's going to get into trouble. Stop! (thump on window) It's my mom's car! He didn't understand that people were trying to help him and trying to stop the vehicle. Another driver tries to body block the SUV but it still hits this Jeep head on. Ow! You're okay, you're okay. Daniel wasn't hurt and remains blissfully unaware of the danger that he was in. So where was he going? His only response is, ""Well I just wanted a Slushy from Speedway."" Turns out his parents keep the keys stored high on a wall, but Daniel's a climber. I'm just thankful that he's alive. (outro music)",ok
Dvb6a4qaFNU,hi and welcome to the U nurse I'm Michelle an obgy nurse practitioner today I'm going to take you along with me for a day in the life I'm in the clinic today I do both also surgery with first assisting clinic and inpatient rounding so I hope you enjoy and come on [Music] along good morning and welcome to a day in the life of an OBGYN nurse practitioner I like to start my mornings off head into the gym so this is my gym fit for the morning I think it's really important to pour into yourself before you start your day especially working at healthc care you really have to be present for the needs of so many others so I'm heading into the gym first thing in the morning I get up at 5:00 a.m. bright and early still dark I out and I head in to get some me time and to pour into myself I usually start my workouts with some kind of low impact warmup so whether it as Dynamic stretching a little bit of cardio this particular day I did cycling and moved right into some lower body hip thrusts after that I spent I went home spent about an hour at the gym to shower and I changed into my fit for the day which was scrub set by figs I love it because it not only feels good but it looks gives a nice business casual look and I'm in pajamas all day essentially so heading into work walking in um so I work in a women's health clinic and I see um patients ranging from teens all the way up to postmenopausal women I open up my office first thing in the morning my breakfast is always something with some protein based to it and then I get started first thing check the in basket so as a provider you're going to have Labs that you need to follow up on Imaging messages from patients from back office staff like medical assistants front desk staff other providers so I'm just kind of clearing out my in basket looking at what I got you know what's on my schedule for the day and then start seeing patience so in women's health I see anything from OB visits postpartum visits do lots of procedures iuds nextons inds of vaginal cysts skin tag removals pap smears patients come in for concerns vaginal concerns bleeding concerns STI testing it it kind of runs the Spectrum it's and that's just kind of touching the tip of the iceberg so at this point I finished my morning Clinic I'm heading out for a walk for um lunchtime and then going to head back in for afternoon clinic and decided to take the elevator back in after the walk did not feel like taking the stairs so headed back into my office opened it up and got ready for afternoon clinic and kind of rinse and repeat that this the same check the in basket saw patience one area that I'm really passionate about and advocate for is per menopause menopause Health there's just not enough information out there for patients um and it's something that I am passionate about getting that information out too so it's um doing talking about home replacement therapy is one area I really enjoy so here I am going back walking to go finish up the day and hanging up my jacket at the end of the clinic day and got that postwork look you know hair up kind of disheveled but good day I hope you enjoyed following me along for the day for a day in the life of OB n practitioner in the clinic if this was something and content that you enjoyed and you want to see more of please like comment and subscribe um you can also follow me on Instagram at the uteran Nur the. uterin nurse um or on Tik Tok at the uterine [Music] nurse,ok
Jm8QHgIB-yE,,failed
mx6MzHYzEfY,what did you think about the ride it was great and apparently I've never been on live television before but apparently sometimes I don't watch the I don't watch the news because I'm a kid and apparently every time apparently Grandpa just gives me the remote after we watch the Power Ball what the Power Ball tell me about the ride what did you think about the ride wow it was great why because apparently you're spinning around and apparently every time you get dizzy yeah that's all you do is get dizzy is it fun yeah I've never ever been on live television I never ever be on live television are you excited yeah and apparently I already went down the super slide when I went down the L I was scared half to death I just freak out okay okay I need his name hi honey hold on yep hold on I'm just going to ask him what's his name Noah Noah what's your last name de rter how do you spell your how do you spell his last name RIT r i t t e r okay where are you guys from wils all right buddy good St [Music],ok
8vUYcp8Dsvw,,failed
F7JvyEI8FEc,hey everyone it's sarah with registered nurse orient comm and in this video i want to do a job overview of an acute care nurse practitioner maybe you're a nursing student who's fixed and graduate with your registered nurse degree and you're thinking about the future and you're thinking about becoming an acute care nurse practitioner or you're currently a registered nurse who's thinking about going in this field so in this video I'm going to go over the following topics I'm going to talk about what an acute care nurse practitioner is what they do which will include the tasks that they do I'll also discuss educational requirements salary and general dislikes and likes about the profession so what exactly is an acute care nurse practitioner well an acute care nurse practitioner is an advanced practice registered nurse so they were a registered nurse before they became an advanced practice nurse who has earned the credentials of a nurse practitioner through a program with a focus in acute care there are different types of nurse practitioner programs you have family nurse practitioner adult nurse practitioner pediatric nurse practitioner so there's a lot of different programs that offer different types of specialties that you can go into now whatever you're applying to these programs they're acute care nurse practitioner programs they generally have two focuses that you can go into first you can go into adult gerontology or pediatric and the adult gerontology is working with the adult population to the geriatric population and pediatric of course is working with little children and these people who the ACN piece acute nurse practitioners they hold master's degrees or Doctorate degrees there is right now a huge push that eventually that all nurse practitioners will need a Doctorate degree but you can still obtain a master's degree and where do they work well if you care nurse practitioners they tend to work in fast-paced settings with patients who are really sick their high acuity they are critically ill they're unstable with life-threatening conditions that require high maintenance so they're working with a lot of technology these patients are on water drips ventilators and it's a lot of stuff going on with this person and majority of acute care nurse practitioners work in hospitals or acute care settings such as the ICU the ER urgent care in some tasks that they do includes they order and interpret interpret test results they recommend patient treatments they prescribe therapy or medications under the supervision of a doctor and they administer therapeutic procedures so how do you become one what are the educational requirements first like I said you have to be a registered nurse then you can obtain a master's degree or doctorate degree depending on what the program requires that you want through a nurse practitioner program you'll earn that through there and you'll want to focus in acute care and you'll want to pick either those adult during generat ology or the pediatric focus and then after you graduate from your program you'll pass a state board exam and and become an acute care nurse practitioner so how much can you expect to earn as an acute care nurse practitioner according to bls.gov this is a compilation of all nurse practitioner salaries together regardless of experience and what specialty they're in and they earn generally about forty seven dollars and 11 cents an hour and ninety seven thousand nine hundred and ninety dollars a year now I wanted to see what exactly acute care nurse practitioners are based on their specialty so according to payscale.com the average median salary meaning everyone all together regardless of experience geographical locations because where you live plays a huge role in how much you're gonna make and what's specially to you go into so this is all together they made an average of ninety one thousand one hundred and eighty eight dollars and the highest earners who lived in New York made the most but you have to remember living in New York they have a higher cost of living compared to someone who's living in North Carolina so you always have to take that into fact and the fields that paid the most was surgery cardiology intensive care units and acute care settings so let's talk about what they like about their job and what they don't like about their job because just with anything you're gonna like some things and you're not gonna like something so let's talk about the positive first okay generally people who go into this study they are adrenaline junkies so they love high fast-paced settings and they thrive on this and they love it next they love dealing with crisis situations and actually they deal with that situation and their treatment what they prescribe for that patient has actually helped them and save their life that is very satisfying to them and they love that next like I said they love the environment they love working with the technology that's literally at their fingertips working with other disciplines consulting with them and they just love everything that's going on they love the acute setting compared to like the primary care setting which isn't as fast pace as the acute care setting what they don't like now acute care nurse acute care nurse practitioner the job is stressful because you're dealing with life and death situations so there is a risk for burnout because you're having a constant stress on you and you're dealing and you're seeing death a lot so that can tend to burn you out especially if you don't take care of yourself and take breaks next it wears on you as you start to age a lot of people report that you know this was good whenever I was in my late 20s but now that I'm in my 50s so I'm a little bit tired and this is really wearing me out so the high the fast-paced stuff as you get older it starts to wear you out and you want to settle more for a lower pay setting and then next last but not least there is a lot of responsibility and liability ICU is very high stress if you work there and a lot of lawsuits happen in that area so you have to always be on your game there's a lot on you and the people are really going to you for the answers and you have to make sure you know what you're doing you have a lot of responsibilities and liabilities so that's another thing that people report that it's a little bit of a dislike so that is about acute care nurse practitioners I hope that helped increase your knowledge and let you decide maybe if you want to enter the field or not and please check out our other YouTube videos on nursing specialties and thank you so much for watching and please subscribe to this youtube channel,ok
YdiWTYkY1uY,"So in this video, I'm going to show you guys
what it's like to work in a Japanese office. [Music] This is Emi, a 24-year-old Japanese woman
working in Tokyo and she's just waking up. This is her morning routine. She doesn't take a shower to get
ready for work as some may assume. Like many Japanese, she prefers taking a bath
in the evening before she goes to bed instead. Emi how long does it take to put on your makeup? Like 5 minutes. I don't have time so I do it really quickly. Nice spread, but who made breakfast for you? Mother makes a lot for me but ... I can't finish it. I always run out of time to eat. Well, Emi completely bailed on breakfast. It's okay though, she's trying to be on time. In fact, many Japanese just grab
a small breakfast like an 'onigiri' from the convenience store on their way to work. So if you didn't notice already,
Emi still lives with her family, which is a fairly common thing in Japan,
even after graduating from university. Emi commutes to work by train, but the closest train station from
her house is about a 10 minute walk. The average commute time in Tokyo
is about 45 minutes to an hour. An hour train ride in the morning sounds a bit long, but Emi is quite lucky as she doesn't need
to transfer trains in the morning like others. So this is the train right now, it's arriving. It's such a long, long ride. It was a long ride, huh. It's like an hour. It's really packed like this. It's not bad this early in the morning. But if I oversleep and I'm late, it gets crowded. So Emi's office is located in the Otemachi area, which is considered Tokyo's
premier business district. She works for a company called Pasona, one of the largest staffing
service companies in Japan. There's about 4,000 staff in her office alone
and about 9,000 in total worldwide. Is this building only Pasona people? There are companies other than Pasona in this building. Good morning. You don't have a monitor? This is my monitor. Some people have monitors but I don't have one. And that's Emi's boss, super friendly. Thank you so much for coming in so early! And this is Emi's office. As you can see, very open and colorful
compared to most Japanese offices. Since Emi works in the PR department, her first
task of the day is to read all the newspapers, so she's up to speed with what's going
on in Japan and the rest of the world. And today is Monday, so she has to catch up
on all the news over the weekend. So she's in a bit of a rush. Check out this view outside.
It's pretty awesome. Is everyone here doing the same job? Yes. Usually, we all read newspapers in the morning. How are people seated in the office? This table, that table and that table These 3 tables are the PR department. So check this out. This happens often in Japanese offices. This lady is passing out
souvenir sweets from her vacation. It's called 'omiyage' in Japanese. It's customary in Japan to bring something
back from your vacation for people in the office. It's kind of a way to show gratitude to others
for letting you take a break from work and for them covering you while you're away. Oh, and there's another person doing it. In my 15 plus years in Japan,
I've never seen anyone forget to do this. So one thing I'm really noticing
is just how quiet this office is. There's not a lot of loud voices, which I guess
when working in a workspace like this where it's all open, it's very very helpful. Literally, it's actually fairly respectable. Not a lot of people are talking or gabbing. You can actually get work done
here because no one's too loud. People actually don't wear headphones. In my previous office, I used to wear
headphones, but that was probably just me. But I've actually noticed something interesting. I don't know if it's something worldwide. There was a desk with a little humidifier on it. Is that something that's just Japan
or does the rest of the world where people have humidifiers
on their desk because the air is too dry? So what I'm showing you right now
is the company's morning assembly meeting. In Japanese, it's called 'chorei'
and it takes place every morning. I'm kind of surprised that Emi's company still
does this and being as progressive as they are. As you see this more commonly practiced
in old traditional Japanese companies. Basically during the meeting, they share
important company news from different departments. I suppose it's equivalent to today's
company email newsletter blast. Then after the company-wide meeting finishes, each department gets together
and they do the same thing. Okay. Since Emi's busy with their work, let's play Curious George and explore the office a bit. So let's just go down here and see what they have. So you can see this is the pantry area. This is hot water. This is one of my morning tasks. So she fills all the water
heating pots up in the morning. It's then later used to make tea which is served
during client meetings throughout the day. So this is quite interesting because
this is one of the executive offices here and you can see that there's no wall here. It's an open space just like this entire office. And so I just found out the CEO has a whole stack
of blank birthday cards to give out to people. What he uses it for is like
he knows a lot of people apparently and whenever he has a birthday,
he just grabs a card he likes here and then writes out the birthday card and sends it. But I'm really liking his style.
It's pretty dope. Emi, where are you going? I've finished my morning tasks. I'm going to go for quick workout and then come back. work some more, and then go to lunch. It's crazy. She's actually going
to work out in the middle of the day. It's 10 o'clock right now. It's quite progressive in my opinion that a company allows employees
to work out during the day, let alone having a full gym built inside of the office. You do need to pay a monthly fee though. And if you want, they have personal
trainers to customize your workout. It's pretty neat that they can like
work out in the middle of the day, but she's actually still wearing her suit. If you do want to come here and like get
a full workout on then you can do that as well. Check that out. Slippers on top of my shoes. So you can like come here,
wear your regular shoes, wear the slippers on. I got 1 hour until my lunch break. I'm going to work hard! So Emi, you have an hour until lunch break.
What are you working on now? I'm responsible for the PR of Awaji Island. So I'm going to work on projects related to Awaji. How do you like your job? It's interesting. It's challenging and
fun at the same time. I'm learning a lot from this job. So now she's making phone calls
and doing your standard computer work, checking emails, drafting documents,
filling out reports, etc. You know the deal if you've ever worked in an office. So another interesting thing is the CEO actually
just sits right here in the center of the office. His chair is just right here. I think it's pretty impressive that
he just sits right around everyone and anyone can just like talk to him when he's here. What do you guys prefer? Do you guys prefer having like blocked off
cubicles or do you like this open office style? One thing though, he does have
the nicest seat in the office. That's one difference. So I'm in the seminar room right now. Emi's downstairs doing her work. So let's explore the office. I heard there might be a 'konbini' on the 3rd floor. So let's go check it out. Wow, it's a proper 'konbini'. It has like everything you would want. It has drinks. It has like bakery stuff. It even has some 'bentos'.
All the 'onigiris' you would want. It's kind of cool just like walking around this place. Here's a quick peek into the little boys room. Not much different than the rest of the world. Oh wait, maybe except the sound
button built into the bidet. It's helped to mask noises when using the toilet. Never really heard anyone
use it in the men's office toilet, but apparently it's almost always
used in the women's toilet. I guess women are more embarrassed
to let others hear their, uh...noises? Oh, I heard about this. This is a global salon. Let's go inside and check it out. Oh, wow. It's nice to see the employees
working on their English skills. And so apparently they even have this open space
here for everyone to use which is nice. Look. Man, Emi has a sweet office. They shouldn't have let me just walk
around by myself this whole entire time. Finally lunch time. Would you like to go to lunch? Let's go! She's asking co-workers
if they want to go to lunch together. You probably don't notice but she's using
'keigo', which is a polite form of Japanese. So i'm guessing that Emi's talking to her co-workers that are more senior than her called 'senpai', which makes her the 'kouhai' and it's probably
one of the more difficult things to master for a non-Japanese
working in a Japanese office. Oh in Japan, it's not only polite to hold
the open elevator button for everyone to get out, but sometimes people will go back and forth
on who'll hold the elevator open as it's another way to earn those office respect points. So the 1st floor has this bakery
and we have salads over there and if you're an employee here you get a discount and so I guess we get to just choose
all the like bread that they want. So I found out that all the food sold
at this bakery is made in the building by the company subsidiary called Pasona Heartful. They employ workers and artists with disabilities
and their philosophy is talent knows no handicap, which I think is pretty cool. They even create a lot of the art
seen throughout the office including the Olympic designs
we saw at the elevator earlier today. And what's wonderful is that the 1st
floor cafeteria area is open to the public. So if any of you decide to visit the office, I definitely recommend getting the 'shio' butter pan. It's amazing. This shio-pan is super popular. They bake it for us every day. and this one is actually freshly made Something else you may not know
if you've never seen it before, the wet towels provided with your food
is to wipe your hands before you eat. Just wanted to mention it since
many countries don't offer wet towels. Another thing that might surprise you is that
everyone's eating their salads with chopsticks. And when you finish you've
got to clean up your garbage and put away your trays or plates if they have any. This is also common in Japanese fast food
joints like McDonald's or 'soba' shops. Anyway, I've gotten used to all these
since I've been in Japan for so long. But what do you think about the wet towels,
salad chopsticks, or even cleaning up after yourself? They have a farm up here. I'm gonna check out. So we have a few more minutes
before Emi has to go back to the office. Emi asked me if I wanted to check out the farm. Yeah, you heard me. A real deal farm in the office. I was pretty surprised myself.
Apparently it's open to the public. So if you want to take your kids
and pet the animals, it's all good. I personally prefer to see animals
in their natural habitat, but to each their own. You can actually come up here
during your break time and feed animals. I mean, she's like pretty lucky to be here. Working for this company because
you don't get a lot of Japanese companies like this progressive or like
that offer so many services. But I do have allergies so I gotta keep my mask on. Oh, and they even have fierce looking owls. Oh, and just in case you're wondering
about the animals well-being, I'm told the facility provides 24-hour ventilation. The animals are returned
to an outside farm every few months. And the owls are allowed to fly
around the entire floor in the evenings. That was actually pretty cool. So in the afternoon she has several
meetings packed into her schedule. My senpai is going to do a
Genko (draft) check for me. It's a meeting. She has a health check? No, No. 'Genko' ... Writing So there's a difference between 'genko' and 'kenko'. - 'Genko' check, not health check.
- *KENKO means health in Japanese So basically her 'senpai' reviews the document
she made and provides feedback to finalize it. In about 5 minutes, I'm going to have
a meeting with the Awaji team over there. Awaji Island is an island
in the southwestern part of Japan. Emi's currently working on a project there. So she has regular video
conferences with that office. 5:52 right now. It's not even 6
and people are already starting to head out. I mean if you look around there's
still people that are working obviously, but I think we're heading out now. I guess she's done. In old school Japanese companies, it would have been death to leave
the office before your superiors. In fact, I have several friends working in those
type of offices and they're always working late. Seems like Emi's office is way more flexible and lets you leave when you
finish your work for the day. Makes sense, right? Apparently the restaurant
in the basement floor is free for employees. That's amazing, isn't it? And you guys know I love free. I don't think the beer is free though. So all 4 women work at the same company, but 2 of them work in sales
on a completely different floor. These are my friends who started in the same year. Everyone is 24 years old.... They all met a few years back during company training. See, when new grads enter a company for the 1st time, they're required to go through formal
company training called 'kenshu' in Japanese. It's different with each company, but in their case, they actually
had an induction ceremony, spent 1 week off-site together, and had an additional 2 and a half
months of training at the office. This is like how it's supposed to be, right? A regular work day in Japan. Let me know what you guys think in the comments. If you thought that there's anything that like
stood out to you or that you thought was weird or that you thought was just like pretty
much standard in the rest of the world. Let me know in the comments. If you guys want to see what I'm doing on the daily, then definitely check out my Instagram account. And if you want to help support the channel,
check out my Tokyo merch. The link is always in the description. And now I can finally have a beer with them.",ok
rZikX_fleno,"[Applause] [Applause] [Music] [Applause] [Music] [Applause] Hey, come on. [Music] [Applause] No, fail. [Music] [Music] Hey, I don't smoke. [Music] [Applause] [Music] [Applause] [Music] Ah, [Applause] [Music] [Music] blood. [Music] Yeah. Huh? [Music] Ganga gangster boogie. Ganga boogie. Gangster boogie. Gangster booie. Gangster boogie. Gangster boogie. Gangster booie. Gangster boogie. Gangster boogie. gangster. Gangster [Music] booster boo. Gangster boogie. Gangster booie. Gangster boogie. Gangster booie. [Music] [Music] What? Hey. Hey. That's what I'm [Music] show. [Music] [Music] Heat. Heat. [Music] [Music] Heat. [Music] Heat. Heat. Heat. Heat. [Music] [Applause] [Music] [Applause] [Music] Gangster gangster boogie. Ganga boogie gangster boogie booster boogie. [Music] Gangster [Music] boo. Ganga boo. Gangster boo. Gangster booie. Gangster boogie. Gangster boo. Ganga boo. Gangster boo. [Music]",ok
aNKuJc41O3E,,failed
