video_id,claude_occupational
xAcvIhbItb4,1
Mr-tMi97aeU,1
lROEuoNkcY0,1
y2U-lxLxpa8,0
UiWTm6yKCyo,2
duH3Q7JjSkg,0
5DlKknStOKI,0
egJjh2yP8MI,0
AJqbyuJz7uc,1
ew0a6Hl_zzE,1
YdiWTYkY1uY,0
T0Jmbuoy9B0,0
QA9W2veDucs,0
M6ZjMWLqJvM,0
BktX9mKMMMI,0
xORrarGH7Cc,1
gbynjAwvevU,2
1YUFk6cPUDw,1
mx6MzHYzEfY,0
3V6MvoEsoeQ,1
3fgPdY6ZxB0,0
4VRrWrpbX1w,-1
DoeDviE7Vnk,0
zt4qQ6VoTzY,0
BPsfbV9t8Vw,0
E9oKEJ1pXPw,1
D8A_Hu_WqeQ,-1
bmryPXJ9200,-1
LuZV9kkzscg,1
ZSLxLWILT_o,2
dy1LfMz19J8,2
1mTZjWePlxI,1
Fhskvloj1gE,0
qZsdm0RZ18k,1
J33nDgS3uUY,-1
djeSpYe4Rw8,1
O82o15Asq54,-1
4m4UxbDgGhc,1
RrniEJHByV4,-1
sBkmKu4Acog,-1
PSJ_k5Pq414,-1
HOkSXnKuwJc,-1
KTw7tXzxoNM,0
16BFrEBZQS4,1
ZUJJdeByJa0,0
AFIErqqPx2M,0
rZikX_fleno,0
