video_id,claude_occupational
6B9kcC6zYjA,1
Mr-tMi97aeU,2
xAcvIhbItb4,1
1YUFk6cPUDw,1
UiWTm6yKCyo,1
mRogiWobJhg,0
duH3Q7JjSkg,0
wvhhuZWwZnA,1
4dv1pdot0Yw,0
dO3yjlaSBHE,1
y6KhP9myfk8,1
i_lFDt73Gng,0
rZikX_fleno,0
ggNdMG0_oQo,1
ZUJJdeByJa0,0
vX1uXE2TvVw,0
tZPQaihwZRA,1
WDlDwppz6Xc,1
qtakQ0wZ1E4,0
vfiV-uLt230,0
LuZV9kkzscg,1
gbynjAwvevU,2
YpjwHazhknA,1
P26m-Hj1_To,0
dd4M6VPSESQ,0
z1cjJODe0co,0
gRPYbsBTTdk,0
Fiq9XMRr4jg,0
LgRqYh7Aivg,1
zt4qQ6VoTzY,0
0q4FidAU-Xk,0
JTM8tNM5syE,0
ThQxZTPyEgU,0
8m9negKqZLo,0
BjHnlXwQ4ws,0
MeDb2nU9jKU,1
MDsX84AlqlI,0
IqzMUn90tMg,0
SKpHsXjvBqw,0
1mTZjWePlxI,1
ZSLxLWILT_o,2
YPHPcDv409c,0
8r4t14J6Zhc,1
g6pPQZCss14,0
NHm9AFIxtQQ,2
wk3FzntVAgU,0
BRVzspoLw6w,0
GpQSUjNsNm0,1
VME4T0sFlV4,0
