video_id,claude_occupational
35ahPKGHO5s,-1
e_TxH59MclA,2
yC-DDo3ESwA,1
QMnEP2DYfmI,0
D8A_Hu_WqeQ,-1
e8TJoYb-Cgc,0
4SRvi1N1ouw,1
V9e9RHCg22M,1
6GPnvbfVqBY,1
nZvW71zWNwc,1
J33nDgS3uUY,-1
3V6MvoEsoeQ,1
ggNdMG0_oQo,1
vX1uXE2TvVw,0
DDVkXdRlZBA,0
6tmjXp_AYg0,2
VRGFnhOpQU0,1
3PdiEfWT8Cs,1
FGvdNUgC5Kk,0
HOkSXnKuwJc,-1
90IxM5XRPAE,1
qtakQ0wZ1E4,0
ZNVlIMHS1sk,1
djeSpYe4Rw8,1
fze5s1SlqB8,0
LuZV9kkzscg,1
-HwQIIVnpOg,0
17PXpV3zFs8,2
icdHpEaqKMQ,0
p0o679-N9DI,0
1QwPt9YsnOE,1
Gn4SElwnssA,0
NljSnaZ2WiY,0
jsz6vXW77yc,1
gmIwxqdwgrI,2
t3rKrTehORY,2
ZUJJdeByJa0,0
9UmAHufIupc,0
Lgw2slDfx9Q,0
JrGMgc7wjvU,2
-yjGHHt1Jm8,0
xAcvIhbItb4,1
kQAs6qw68Ug,0
2mh_ZICm-EU,2
sBkmKu4Acog,-1
Fiq9XMRr4jg,0
Hz2F_S3Tl0Y,1
jNQXAC9IVRw,0
PP7xv_Y8FOE,-1
