video_id,claude_occupational
xAcvIhbItb4,1
Dvb6a4qaFNU,-1
mx6MzHYzEfY,0
F7JvyEI8FEc,-1
YdiWTYkY1uY,0
rZikX_fleno,0
3V6MvoEsoeQ,1
M6ZjMWLqJvM,0
uYFtMFtlGCc,0
mkWuXx2CcCc,-1
3fgPdY6ZxB0,0
QCYW6wHbFS4,0
RrniEJHByV4,-1
fWxdhN4foz4,-1
zl_M2opGkuE,-1
mtC4sjABZNw,0
UzMV_K5kI_k,-1
D8A_Hu_WqeQ,-1
YWcuCTiggkg,0
YQQjjeFe_UU,-1
6hjWq8h5nnk,-1
bmryPXJ9200,-1
pYbttIST-qA,0
gPAeO0VNb3o,2
HFBCHQJBkB8,-1
lHEagywmafU,-1
YEDqONG-pJU,0
p4teHGDomfM,0
E9oKEJ1pXPw,1
9j0JsdbIXKo,0
PJVgpQO6e_k,0
kDRd2QIaojQ,-1
LBXg-zbM0kc,-1
lE3LzxD3hYk,1
8m9negKqZLo,0
_TBD8HTssRA,1
sBkmKu4Acog,-1
Qluz-2rTKE4,-1
djeSpYe4Rw8,1
B_fLKg44ax0,-1
TQFXaoT8QWo,0
cLuZhFRGTCY,-1
-GgRTexXbic,0
kgrV3_g9rYY,0
QaJqKWXUs1U,1
Bvftuz2ILUg,0
I5Dj9vKhlMQ,0
EiQN-3y0u_c,0
